Airfoil,Camber,Camber_Location,Thickness,Re,Mach,Alpha,cl,cd,cm
0006,0,0,6,75000,0.75,-4,-0.665942,0.025676,-0.00972
0006,0,0,6,75000,0.75,-3,-0.518321,0.017954,-0.005261
0006,0,0,6,75000,0.75,-2,-0.339204,0.016354,-0.001162
0006,0,0,6,75000,0.75,-1,-0.167553,0.015971,-0.000111
0006,0,0,6,75000,0.75,0,0.000507,0.016356,0.000943
0006,0,0,6,75000,0.75,1,0.168579,0.017963,0.005064
0006,0,0,6,75000,0.75,2,0.340244,0.025715,0.009483
0006,0,0,6,75000,0.75,3,0.519468,0.041707,-0.001404
0006,0,0,6,75000,0.75,4,0.667101,0.058734,-0.016704
0006,0,0,6,75000,0.75,5,0.716219,0.075302,-0.031942
0006,0,0,6,75000,0.75,6,0.719472,0.093691,-0.047192
0006,0,0,6,75000,0.75,7,0.724779,0.114366,-0.061691
0006,0,0,6,75000,0.75,8,0.741129,0.135392,-0.073633
0006,0,0,6,75000,0.75,9,0.761658,0.157464,-0.08486
0006,0,0,6,75000,0.75,10,0.786548,0.180241,-0.095192
0006,0,0,6,75000,0.75,11,0.814196,0.203771,-0.104886
0006,0,0,6,75000,0.75,12,0.843431,0.228046,-0.114082
0006,0,0,6,75000,0.75,13,0.873179,0.253042,-0.122873
0006,0,0,6,75000,0.75,14,0.902708,0.278719,-0.131315
0006,0,0,6,75000,0.75,15,0.931493,0.305075,-0.13948
0006,0,0,6,75000,0.75,16,0.95935,0.332065,-0.147398
0006,0,0,6,75000,0.75,17,0.986024,0.359627,-0.155083
0006,0,0,6,75000,0.75,18,1.01132,0.387731,-0.162565
0006,0,0,6,75000,0.75,19,1.035187,0.41634,-0.169867
0006,0,0,6,75000,0.75,20,1.057596,0.452827,0.199382
0006,0,0,6,75000,0.8,-20,-1.16085,0.421941,0.191186
0006,0,0,6,75000,0.8,-19,-1.137696,0.391389,0.182554
0006,0,0,6,75000,0.8,-18,-1.112374,0.361261,0.173468
0006,0,0,6,75000,0.8,-17,-1.084959,0.331587,0.163859
0006,0,0,6,75000,0.8,-16,-1.05535,0.302453,0.153693
0006,0,0,6,75000,0.8,-15,-1.023657,0.273923,0.142918
0006,0,0,6,75000,0.8,-14,-0.989978,0.246097,0.13152
0006,0,0,6,75000,0.8,-13,-0.954635,0.219114,0.119533
0006,0,0,6,75000,0.8,-12,-0.918296,0.193179,0.107087
0006,0,0,6,75000,0.8,-11,-0.88229,0.16837,0.094081
0006,0,0,6,75000,0.8,-10,-0.847224,0.145065,0.080596
0006,0,0,6,75000,0.8,-9,-0.814656,0.124634,0.067148
0006,0,0,6,75000,0.8,-8,-0.793087,0.106487,0.055907
0006,0,0,6,75000,0.8,-7,-0.774314,0.089228,0.047179
0006,0,0,6,75000,0.8,-6,-0.750645,0.072813,0.040959
0006,0,0,6,75000,0.8,-5,-0.722767,0.056701,0.035409
0006,0,0,6,75000,0.8,-4,-0.683277,0.040263,0.025152
